ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-00001757,PR-40012449,AppleBerries Early Education Service Kallangur,Childcare Holdings Pty Ltd,88 Brickworks Road,KALLANGUR,QLD,4503,153.0002715,-27.2444607,6,93,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jul-16,Yes,No,No,No,No,No,,,Yes
SE-00001758,PR-00000898,Community Kids Yandina Early Education Centre 2,G8 Education Limited,12 Stevens St,YANDINA,QLD,4561,152.9549336,-26.5605773,7,68,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-15,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00001760,PR-00000730,Acorn Child Care Centre,Acorn Child Care Centre Pty Ltd,10A Branyan Street,BUNDABERG WEST,QLD,4670,152.3413438,-24.8714948,2,140,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-13,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00001761,PR-00000881,St. Mary MacKillop Early Learning Centre - Kirwan,Roman Catholic Trust Corporation for the Diocese of Townsville,28 Morindo Drive,KIRWAN,QLD,4817,146.7197089,-19.3128224,6,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-20,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-15,Yes,No,No,No,No,No,6:00,18:00,No
SE-00001764,PR-40011168,Greenslopes Early Learning Centre,Greenslopes Early Learning Centre Pty Ltd,100 Denman Street,GREENSLOPES,QLD,4120,153.0458533,-27.5127234,10,75,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-16,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00001765,PR-40001480,Creative Garden Early Learning,CG Operations Pty Ltd,17 Approach Road,BANYO,QLD,4014,153.085824,-27.3779962,9,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00001766,PR-00001129,Goodstart Early Learning Rural View,Goodstart Early Learning Ltd,8-12 Carl Street,RURAL VIEW,QLD,4740,149.161072,-21.0631021,5,75,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-16,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Jun-13,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00001767,PR-40002197,Busy Bees at Maroochydore,FEL Child Care Centres 2 Pty Ltd,22A Denna Street ,MAROOCHYDORE,QLD,4558,153.0678693,-26.6439869,5,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,No
SE-00001769,PR-00000673,Flinders Early Learning Centre,Matthew Flinders Anglican College Ltd,144 Ballinger Road,BUDERIM,QLD,4556,153.0624205,-26.6984884,9,75,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-16,,,,,,,,,,Yes,No,No,No,No,No,7:30,18:00,No
SE-00001770,PR-40020748,Tumble Tots McDowall,HIYOKO GLOBAL EDUCATION GROUP PTY LTD,3 Hackman Street,MCDOWALL,QLD,4053,152.9947762,-27.3840802,9,14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-12,Yes,No,No,No,No,No,7:00,18:00,No
