ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-40002678,PR-40002184,Little Scholars School of Early Learning Redland Bay,The Scholars Group Pty Ltd,12 Tathra Ct,REDLAND BAY,QLD,4165,153.296788,-27.612062,9,83,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-17,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-40002680,PR-00006560,Avenues Montessori Children's House,Kwei Brothers Pty Ltd ATF Kwei Brother's Trust And Cynas Childcare Pty Ltd ATF Cynas Childcare Trust and PM Wu Childcare Pty Ltd ATF PM Wu Childcare Trust and Wu and Kuo Childcare Pty Ltd ATF Wu and Kuo Childcare Trust,45 Folkestone St,BOWEN HILLS,QLD,4006,153.0412102,-27.4446993,10,150,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-16,,,,,,,,,,Yes,No,Yes,No,No,No,,,Yes
SE-40002695,PR-00000693,Kingdom Kids Early Learning Centre - Calvary Christian College Springwood,The Uniting Church in Australia Property Trust (Q.),"Calvary Christian College, 161-163 Dennis Rd",SPRINGWOOD,QLD,4127,153.1430444,-27.616206,6,27,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-16,,,,,,,,,,Yes,No,Yes,No,No,No,,,AT
SE-40002722,PR-40001318,Petit Early Learning Journey Marian,Petit Early Learning Journey Pty Ltd as Trustee for Petit Early Learning Journey Trust,18-20 Bissett Street,MARIAN,QLD,4753,148.9531842,-21.1480171,8,104,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-16,,,,,,,,,,Yes,No,No,No,No,No,,,Yes
SE-40002724,PR-00000697,St Andrew's Lutheran College Early Learning Centre,Lutheran Church of Australia Queensland District,175 Tallebudgera Creek Rd,TALLEBUDGERA,QLD,4228,153.4339457,-28.12253,9,79,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-16,,,,,,,,,,Yes,No,Yes,No,No,No,,,No
SE-40002735,PR-40017248,The Coomera Cottage Early Learning Centre,Story House Early Learning No 28 Pty Ltd,180 Old Coach Rd,UPPER COOMERA,QLD,4209,153.2986157,-27.853996,8,143,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-40002745,PR-40003008,Green Leaves Early Learning Griffin,Green Leaves (QLD2) Early Learning Centres Pty Ltd,130-132 Brays Rd,GRIFFIN,QLD,4503,153.0212425,-27.2618736,6,129,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-17,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug-16,Yes,No,No,No,No,No,,,Yes
SE-40002749,PR-00000771,Ipswich Adventist School,Seventh Day Adventist Schools (South Queensland) Limited,56 Hunter St,BRASSALL,QLD,4305,152.7464374,-27.5961563,3,22,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Sep-15,,,,,,,,,,No,Yes,No,No,No,No,8:45,15:00,No
SE-40002756,PR-00000771,Darling Downs Christian School Kindergarten,Seventh Day Adventist Schools (South Queensland) Limited,"Darling Downs Christian School, 451 MC Dougall St",GLENVALE,QLD,4350,151.9039097,-27.5686562,5,24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-19,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jun-16,No,No,Yes,No,No,No,,,No
SE-40002787,PR-00000771,Gold Coast Christian College,Seventh Day Adventist Schools (South Queensland) Limited,7/9 Bridgman Dr,REEDY CREEK,QLD,4227,153.3998603,-28.1045604,8,22,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,,,,,,,,,,No,Yes,No,No,No,No,,,No
SE-40002790,PR-40002012,Brookes Street Early Education Pty Ltd,Brookes Street Early Education Pty Ltd,89 Brookes St,FORTITUDE VALLEY,QLD,4006,153.0367415,-27.452917,10,78,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Mar-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Jun-16,Yes,No,Yes,No,No,No,7:00,18:00,Yes
SE-40002814,PR-00001134,Staines Memorial College Kindergarten,Christian Community Ministries Limited,227-243 School Rd,REDBANK PLAINS,QLD,4301,152.8499455,-27.6694112,3,44,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Sep-15,,,,,,,,,,No,Yes,No,No,No,No,,,No
SE-40002827,PR-40001318,Petit Early Learning Journey Caloundra,Petit Early Learning Journey Pty Ltd as Trustee for Petit Early Learning Journey Trust,4 Lomond Cres,CALOUNDRA WEST,QLD,4551,153.0897804,-26.7986031,6,121,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Mar-21,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Mar-18,Yes,No,No,No,No,No,,,Yes
SE-40002845,PR-40000259,Aurukun State School Kindergarten,State of Queensland (Acting through Department of Education),"C/-Aurukun State School, 701 Wuungkam Street",AURUKUN,QLD,4892,141.722885,-13.354633,1,24,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan-15,,,,,,,,,,No,Yes,No,No,No,No,,,Yes
SE-40002890,PR-40017248,Pimpama Early Learning,Story House Early Learning No 28 Pty Ltd,166 Yawalpah Rd,PIMPAMA,QLD,4209,153.3065769,-27.8229352,8,147,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Nov-16,,,,,,,,,,Yes,No,Yes,No,No,No,6.3,18.3,Yes
SE-40002920,PR-00000123,Family Day Care South Cairns Community Kindergarten,Family Day Care South Cairns Association Inc,27 Windarra Street,WOREE,QLD,4868,145.7395155,-16.9650134,5,24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-15,,,,,,,,,,No,No,Yes,No,No,No,,,No
SE-40002928,PR-00000697,Living Faith Lutheran Kindergarten,Lutheran Church of Australia Queensland District,50-60 Brays Rd,MURRUMBA DOWNS,QLD,4503,153.0140982,-27.2558104,6,44,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Sep-16,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:00,No
SE-40002932,PR-40002415,Camelia Avenue Childcare Centre,RHT Investments (Qld) Pty Ltd as Trustee for RHT Family Trust,1-3 Camelia Ave,EVERTON HILLS,QLD,4053,152.976048,-27.4008243,9,91,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-15,,,,,,,,,,Yes,No,Yes,No,No,No,,,Yes
SE-40002948,PR-40000023,Little Gems Child Care and Early Learning Centre,KB Child Care and Early Learning Pty Ltd,118 Saltwater Creek Rd,MARYBOROUGH,QLD,4650,152.7082323,-25.517811,1,150,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Oct-17,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jan-16,Yes,No,No,No,No,No,,,Yes
SE-40003039,PR-00004736,Guardian Childcare & Education Springfield,Guardian Corporate Early Learning Centres Pty Ltd,"Ground Floor, GE Building, 51 Barry Alexander Drive, Yoga Way",SPRINGFIELD CENTRAL,QLD,4300,152.9009012,-27.6809602,7,76,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Dec-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-40003051,PR-00000431,Sesame Lane North Lakes McLennan Court,Sesame Lane Pty Ltd,1 McLennan Court,NORTH LAKES,QLD,4509,153.0215184,-27.2405499,9,118,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-18,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Oct-16,Yes,No,No,Yes,Yes,Yes,,,Yes
SE-40003054,PR-00000302,Big Cribb API Childcare Centre,API Promotions Pty Ltd,18 Little Cribb St,MILTON,QLD,4064,153.0092851,-27.4681622,10,77,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-17,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,No
SE-40003093,PR-00001239,Green Beginnings Child Centre and Kindy - Innovation Parkway,Green Beginnings Pty Ltd as Trustee for The Whatham Family Trust,9 Innovation Pkwy,BIRTINYA,QLD,4575,153.1222764,-26.7344768,8,76,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jan-16,,,,,,,,,,Yes,No,No,No,No,No,6:45,17:45,No
SE-40003142,PR-40002358,Eastside Early Learning,EASTSIDE EARLY LEARNING PTY LTD,681 New Cleveland Rd,GUMDALE,QLD,4154,153.1522427,-27.4909034,10,186,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-40003143,PR-00000322,Noah's Ark Preschool and Childcare Centre Pimpama,King's Christian Education Ltd,Lot 2 Pimpama-Jacobs Well Road,PIMPAMA,QLD,4209,153.2848769,-27.8176053,8,148,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-15,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,6:30,18:30,Yes
SE-40003172,PR-00001205,Montessori International College,Montessori International College Limited,880-932 Maroochydore Rd,FOREST GLEN,QLD,4556,153.0078892,-26.6679647,9,64,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Apr-16,,,,,,,,,,Yes,No,No,No,No,No,,,AT
SE-40003173,PR-40002181,Educating Kids Early Learning Centre Townsville,VKCC Investments Pty Ltd,222 Walker St,TOWNSVILLE CITY,QLD,4810,146.8135212,-19.2605566,8,80,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Apr-16,,,,,,,,,,Yes,No,Yes,No,No,No,,,Yes
SE-40003178,PR-40002758,Sparrow Early Learning Jacobs Ridge,Jacobs Ridge Childcare Centre Pty Ltd,2 Jacobs Ridge Road,ORMEAU,QLD,4208,153.2637236,-27.7823702,8,150,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Apr-16,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,6:30,18:30,Yes
SE-40003196,PR-00000379,TAS Early Learning Centre - Kewarra Beach,Trinity Anglican School Ltd,"Lot 4, Poolwood Road",KEWARRA BEACH,QLD,4879,145.6896727,-16.7837549,8,24,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jun-15,,,,,,,,,,Yes,Yes,No,No,No,No,7:00,18:00,No
SE-40003214,PR-00001153,Sunkids Childrens Centre - Scottsdale,Kinder Educentres Pty Ltd ATF the Farro Trust,322 Scottsdale Drive,ROBINA,QLD,4226,153.3931707,-28.0911391,9,60,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Mar-16,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-40003217,PR-40003532,BEE ME EARLY LEARNERS,Like Home Early Learning Pty Ltd,38 Palmer St East,MURGON,QLD,4605,151.9424902,-26.2443503,1,38,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-16,,,,,,,,,,Yes,No,Yes,No,No,No,7:30,17:30,No
SE-40003218,PR-00000183,Townsville Grammar Early Education Centre,The Board of Trustees of the Townsville Grammar School,70-90 North Shore Boulevard,BURDELL,QLD,4818,146.7036542,-19.2514339,7,44,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-21,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-16,Yes,Yes,Yes,No,No,No,,,No
SE-40003302,PR-40002701,Amaze Early Education Centre Silkstone,Amaze Education Group Pty Ltd as Trustee for AEG Trust,17 Cambridge Street,SILKSTONE,QLD,4304,152.7833047,-27.622861,2,76,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-40003409,PR-00004831,Goodstart Early Learning Kindergarten Undurba,GOODSTART EARLY YEARS LIMITED,47 Ogg Rd,MURRUMBA DOWNS,QLD,4503,153.0074456,-27.2628306,6,22,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Sep-15,,,,,,,,,,No,No,Yes,No,No,No,,,No
SE-40003500,PR-40018269,Edge Early Learning Elanora,Edge Early Learning Elanora Pty Ltd,20 Sapphire Pl,ELANORA,QLD,4221,153.460617,-28.1216182,7,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-21,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-16,Yes,No,Yes,No,No,No,,,Yes
SE-40003699,PR-40001487,Kool Kids Early Learning Centre - Nerang,Kool Kids Operations Pty Ltd,"141-159, Beaudesert Nerang road",NERANG,QLD,4211,153.3243078,-27.9932907,7,163,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-40003717,PR-00001224,Little World,Childs World Management Pty Ltd,10-20 Hardy Rd,MOUNT SHERIDAN,QLD,4868,145.7345373,-17.0024645,5,120,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-40003738,PR-40003561,Busy Bees at Beenleigh,FEL Child Care Centres 3 Pty Ltd,20 City Rd,BEENLEIGH,QLD,4207,153.2036294,-27.7095826,3,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18.3,Yes
SE-40003872,PR-00001123,Okeedokee Early Learning Centre Coomera Rivers,Okeedokee Kids Pty Ltd as Trustee for Okeedokee Kids Trust,42 Gunther Ave,COOMERA,QLD,4209,153.3284028,-27.8526408,8,120,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Sep-16,,,,,,,,,,Yes,No,Yes,No,No,No,,,Yes
SE-40004027,PR-00000077,Maryborough Community Kindergarten and Pre-Prep Schooling,Maryborough Community Kindergarten & Pre-Prep Schooling Assoc Inc,19 Farrell St,MARYBOROUGH,QLD,4650,152.685847,-25.5224565,1,22,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-15,,,,,,,,,,No,No,Yes,No,No,No,8:00,15:30,No
SE-40004154,PR-40002184,Little Scholars School of Early Learning Stapylton,The Scholars Group Pty Ltd,6 Quinns Hill Rd E,STAPYLTON,QLD,4207,153.2455208,-27.7258304,3,65,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-40004186,PR-40003576,Springs Early Education,Springs Leasehold Pty Ltd as Trustee for Springs Family Trust,7-9 Donahue St,KEARNEYS SPRING,QLD,4350,151.9474231,-27.5891509,5,85,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-40004194,PR-00001014,Little Ducks Childcare Bardon,Little Ducks Childcare Wilston Pty Ltd,97 Jubilee Tce,BARDON,QLD,4065,152.9882234,-27.4523292,10,77,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Oct-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-40004220,PR-00000015,Foxwell Magic,Colbridge Pty Ltd,"E.C. Shopping Village, Foxwell Rd",COOMERA,QLD,4209,153.3369961,-27.8523668,8,104,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-20,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Apr-17,Yes,No,Yes,No,No,No,,,Yes
SE-40004335,PR-00004736,Guardian Childcare & Education Charlotte Street,Guardian Corporate Early Learning Centres Pty Ltd,"Level One, 201 Charlotte Street",BRISBANE CITY,QLD,4000,153.0291895,-27.4696562,9,79,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-40004346,PR-40002197,Busy Bees at Springfield Lakes,FEL Child Care Centres 2 Pty Ltd,1 Springfield Lakes Bvd,SPRINGFIELD LAKES,QLD,4300,152.9154252,-27.669847,7,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-16,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-40004461,PR-40017766,Edge Early Learning Peregian Springs,Edge Early Learning Peregian Springs Pty Ltd,6 Kauri Cres,PEREGIAN SPRINGS,QLD,4573,153.0750659,-26.5072072,8,103,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-17,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-40004510,PR-40002181,Educating Kids Early Learning Centre Domain,VKCC Investments Pty Ltd,103-141 Duckworth St,GARBUTT,QLD,4814,146.7590453,-19.2750788,6,74,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,May-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-40004590,PR-00000101,Lady Gowrie Kindergarten Headstart - Vincent,The Gowrie (Qld) Inc.,72 Hodges Cres,VINCENT,QLD,4814,146.7666188,-19.2862124,6,38,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-16,No,No,Yes,No,No,No,,,No
SE-40004652,PR-00000748,Butterfly Childcare - Gumdale,Butterfly Childcare Pty Ltd,928 New Cleveland Rd,GUMDALE,QLD,4154,153.1653356,-27.4921109,10,180,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-40004672,PR-40002806,Crestwood Child Care Centre,Caroline Marie Spencer as Trustee for Child Care Administration Services Trust,26 Crestwood Dr,MOLENDINAR,QLD,4214,153.3732926,-27.9707137,8,20,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Mar-17,,,,,,,,,,Yes,No,Yes,No,No,No,,,No
SE-40004694,PR-00001153,Sunkids Children's Centre - Sunnybank Hills,Kinder Educentres Pty Ltd ATF the Farro Trust,371 Jackson Rd,SUNNYBANK HILLS,QLD,4109,153.0437794,-27.5971292,8,91,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-40004733,PR-40002298,Giggle Kids Child Care Centre,Giggle Kids Child Care Centre Pty Ltd as Trustee for The McNichol Family Trust,155 Shute Harbour Rd,CANNONVALE,QLD,4802,148.6943397,-20.2767271,6,24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-20,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-16,Yes,No,No,No,No,No,7:00,18:00,No
SE-40004785,PR-00000595,St Brendan's Catholic Kindergarten,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,799 Mackay-Bucasia Rd,RURAL VIEW,QLD,4740,149.159366,-21.0527014,5,22,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-17,,,,,,,,,,No,No,Yes,No,No,No,,,No
SE-40004788,PR-40004401,Ooralea Education and Care Centre,Ooralea Education and Care Centre Pty Ltd,81 Boundary St,OORALEA,QLD,4740,149.1497018,-21.1742649,5,85,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jun-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-40004797,PR-40000045,Amazing Grace Early Learning Railway Estate,Mondabella Pty Ltd,39a Ninth Ave,RAILWAY ESTATE,QLD,4810,146.8169269,-19.275573,8,70,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-20,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,Yes,No,No,Yes,Yes,No,7:00,18:00,Yes
SE-40004807,PR-40006061,Little Bunya's Early Education Centre of Excellence,North Education Services Pty Ltd as Trustee for North Education Services Trust,929-943 Kingston Rd,WATERFORD WEST,QLD,4133,153.136701,-27.692631,4,151,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-17,,,,,,,,,,Yes,No,No,No,No,No,,,Yes
SE-40004849,PR-40005638,Sparrow Early Learning Sippy Downs,Sparrow Nest Early Learning No 4 Pty Ltd,7 Ochre Way,SIPPY DOWNS,QLD,4556,153.0646525,-26.7132302,9,116,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-20,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Dec-18,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-40004883,PR-40005638,Sparrow Early Learning Yarrabilba,Sparrow Nest Early Learning No 4 Pty Ltd,3-5 Combs St,YARRABILBA,QLD,4207,153.1089469,-27.8038022,3,99,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Jun-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-16,Yes,No,Yes,Yes,Yes,Yes,6:00,18:00,Yes
SE-40004947,PR-40000815,Guppy's Early Learning Centre - Kingston,Guppys ELC Pty Ltd ATF Parkross Family Trust,1 Mary St,KINGSTON,QLD,4114,153.1177696,-27.6567231,1,82,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-40004969,PR-40004881,Jane's Day Care,,18 Evergreen Dr,SOUTH MACLEAN,QLD,4280,153.0249892,-27.7917528,7,6,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Apr-20,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,7:00,17:00,No
